日付,通貨,USD投機筋ロング,USD投機筋ショート,USD投機筋差,通貨.1,EUR投機筋ロング,EUR投機筋ショート,EUR投機筋差,通貨.2,JPY投機筋ロング,JPY投機筋ショート,JPY投機筋差,通貨.3,GBP投機筋ロング,GBP投機筋ショート,GBP投機筋差,通貨.4,AUD投機筋ロング,AUD投機筋ショート,AUD投機筋差,通貨.5,CHF投機筋ロング,CHF投機筋ショート,CHF投機筋差,通貨.6,CAD投機筋ロング,CAD投機筋ショート,CAD投機筋差,通貨.7,NZD投機筋ロング,NZD投機筋ショート,NZD投機筋差,USDJPY終値,EURUSD終値,GBPUSD終値,AUDUSD終値,USDCHF終値,USDCAD終値,NZDUSD終値,USDJPY8週間後up or down,EURUSD8週間後up or down,GBPUSD8週間後up or down,AUDUSD8週間後up or down,USDCHF8週間後up or down,USDCAD8週間後up or down,NZDUSD8週間後up or down
2023-06-27,USD,21265.0,6297.0,14968.0,EUR,223977.0,78949.0,145028.0,JPY,38018.0,150888.0,-112870.0,GBP,104382.0,52388.0,51994.0,AUD,45225.0,84649.0,-39424.0,CHF,6627.0,11573.0,-4946.0,CAD,50307.0,53154.0,-2847.0,NZD,13207.0,14038.0,-831.0,144.079,1.09605,1.27474,0.66856,0.89371,1.31897,0.61617,,,,,,,
2023-06-20,USD,20972.0,6111.0,14861.0,EUR,229399.0,84750.0,144649.0,JPY,32244.0,139900.0,-107656.0,GBP,101567.0,54959.0,46608.0,AUD,45743.0,95359.0,-49616.0,CHF,8322.0,13173.0,-4851.0,CAD,28187.0,61730.0,-33543.0,NZD,10867.0,13526.0,-2659.0,141.451,1.09169,1.27633,0.67872,0.89781,1.32327,0.61671,,,,,,,
2023-06-13,USD,22416.0,8418.0,13998.0,EUR,226138.0,74316.0,151822.0,JPY,37088.0,141064.0,-103976.0,GBP,76383.0,69648.0,6735.0,AUD,38758.0,100503.0,-61745.0,CHF,8386.0,13429.0,-5043.0,CAD,15536.0,52204.0,-36668.0,NZD,15943.0,16774.0,-831.0,140.232,1.07923,1.26109,0.67662,0.90513,1.33125,0.61489,,,,,,,
2023-06-06,USD,24791.0,12572.0,12219.0,EUR,236060.0,77639.0,158421.0,JPY,34151.0,138968.0,-104817.0,GBP,65063.0,52579.0,12484.0,AUD,54501.0,110969.0,-56468.0,CHF,11579.0,12893.0,-1314.0,CAD,21709.0,60038.0,-38329.0,NZD,16109.0,16812.0,-703.0,139.668,1.06923,1.24226,0.66714,0.90763,1.34005,0.60766,,,,,,,
2023-05-30,USD,23927.0,11159.0,12768.0,EUR,241817.0,76092.0,165725.0,JPY,40736.0,136929.0,-96193.0,GBP,70320.0,57085.0,13235.0,AUD,68969.0,113095.0,-44126.0,CHF,8482.0,8917.0,-435.0,CAD,37619.0,67533.0,-29914.0,NZD,16081.0,16211.0,-130.0,139.774,1.07336,1.24126,0.65159,0.90569,1.36015,0.60426,,,,,,,
2023-05-23,USD,22194.0,10954.0,11240.0,EUR,250070.0,76334.0,173736.0,JPY,36760.0,117420.0,-80660.0,GBP,69203.0,57614.0,11589.0,AUD,53419.0,102500.0,-49081.0,CHF,10267.0,11170.0,-903.0,CAD,20388.0,68914.0,-48526.0,NZD,16648.0,17011.0,-363.0,138.57,1.07684,1.24112,0.66082,0.90078,1.35026,0.62467,,,,,,,
2023-05-16,USD,20669.0,11155.0,9514.0,EUR,258736.0,71647.0,187089.0,JPY,29494.0,94285.0,-64791.0,GBP,77388.0,64795.0,12593.0,AUD,43903.0,97497.0,-53594.0,CHF,8561.0,10420.0,-1859.0,CAD,28514.0,71504.0,-42990.0,NZD,14610.0,16685.0,-2075.0,136.358,1.08607,1.24883,0.66541,0.89627,1.34791,0.62302,,,,,,,
2023-05-09,USD,21656.0,10500.0,11156.0,EUR,260335.0,80913.0,179422.0,JPY,22229.0,83244.0,-61015.0,GBP,71561.0,67033.0,4528.0,AUD,41225.0,90418.0,-49193.0,CHF,7056.0,11523.0,-4467.0,CAD,29609.0,71872.0,-42263.0,NZD,17461.0,22042.0,-4581.0,135.142,1.09593,1.26196,0.67609,0.89037,1.33823,0.63341,,,,,,,
2023-05-02,USD,22988.0,11638.0,11350.0,EUR,246832.0,73343.0,173489.0,JPY,28088.0,96412.0,-68324.0,GBP,58661.0,57596.0,1065.0,AUD,52340.0,97350.0,-45010.0,CHF,8230.0,11229.0,-2999.0,CAD,27899.0,77995.0,-50096.0,NZD,16027.0,17944.0,-1917.0,136.53,1.09987,1.24661,0.6662,0.89303,1.36243,0.62073,up,down,up,up,up,down,down
2023-04-25,USD,24149.0,13410.0,10739.0,EUR,243516.0,74116.0,169400.0,JPY,13680.0,82424.0,-68744.0,GBP,59405.0,53566.0,5839.0,AUD,54241.0,93703.0,-39462.0,CHF,6556.0,10212.0,-3656.0,CAD,24295.0,68086.0,-43791.0,NZD,13070.0,16322.0,-3252.0,133.733,1.09711,1.24058,0.66246,0.8918,1.36261,0.61359,up,down,up,up,up,down,up
